Conv2d,14,128,257,257,147456,9.73932e+09,0,9.73932e+09,0,3.38171e+07,5.62446e+12,3.44069e+07,9.73932e+09,6.35783e+21,9.27713e-17,5.41174e-15,3.80442e+06,
BatchNorm2d,15,128,257,257,0,8.45427e+06,0,2.53628e+07,8.45427e+06,3.38171e+07,4.22714e+07,3.38171e+07,2.83719e-06,1.85212e+06,0,18.2586,3302.45,
Conv2d,16,128,257,257,147456,9.73932e+09,0,9.73932e+09,0,3.38171e+07,5.62446e+12,3.44069e+07,9.73932e+09,6.35783e+21,9.27713e-17,5.41174e-15,3.80442e+06,
SeparableConv2d,17,128,257,257,163840,1.08215e+10,0,1.08215e+10,0,3.38171e+07,2.16429e+10,3.44724e+07,1.08215e+10,7.06425e+21,9.27713e-17,4.87984e-15,64,
BatchNorm2d,18,128,257,257,0,8.45427e+06,0,2.53628e+07,8.45427e+06,3.38171e+07,4.22714e+07,3.38171e+07,2.83719e-06,1.85212e+06,0,18.2586,3302.45,
ReLU,19,128,257,257,0,0,8.45427e+06,0,0,3.38171e+07,8.45427e+06,3.38171e+07,5.67439e-07,370424,0,91.2929,0,
ReLU,20,128,257,257,0,0,8.45427e+06,0,0,3.38171e+07,8.45427e+06,3.38171e+07,5.67439e-07,370424,0,91.2929,0,
Conv2d,21,128,129,129,147456,2.45382e+09,0,2.45382e+09,0,8.52019e+06,1.41708e+12,9.11002e+06,2.45382e+09,1.60185e+21,3.68214e-16,5.68718e-15,958522,
BatchNorm2d,22,128,129,129,0,2.13005e+06,0,6.39014e+06,2.13005e+06,8.52019e+06,1.06502e+07,8.52019e+06,7.14829e-07,466641,0,18.2586,832.051,
Conv2d,23,128,129,129,147456,2.45382e+09,0,2.45382e+09,0,8.52019e+06,1.41708e+12,9.11002e+06,2.45382e+09,1.60185e+21,3.68214e-16,5.68718e-15,958522,
SeparableConv2d,24,128,129,129,163840,2.72646e+09,0,2.72646e+09,0,8.52019e+06,5.45292e+09,9.17555e+06,2.72646e+09,1.77983e+21,3.68214e-16,5.15529e-15,64,
BatchNorm2d,25,128,129,129,0,2.13005e+06,0,6.39014e+06,2.13005e+06,8.52019e+06,1.06502e+07,8.52019e+06,7.14829e-07,466641,0,18.2586,832.051,
Conv2d,26,128,129,129,147456,2.45382e+09,0,2.45382e+09,0,8.52019e+06,1.41708e+12,9.11002e+06,2.45382e+09,1.60185e+21,3.68214e-16,5.68718e-15,958522,
BatchNorm2d,27,128,129,129,0,2.13005e+06,0,6.39014e+06,2.13005e+06,8.52019e+06,1.06502e+07,8.52019e+06,7.14829e-07,466641,0,18.2586,832.051,
Block,28,128,129,129,0,0,0,0,0,0,0,0,0,0,0,0,0,
ReLU,29,128,129,129,0,0,2.13005e+06,0,0,8.52019e+06,2.13005e+06,8.52019e+06,1.42966e-07,93328.1,0,91.2929,0,
Conv2d,30,128,129,129,147456,2.45382e+09,0,2.45382e+09,0,8.52019e+06,1.41708e+12,9.11002e+06,2.45382e+09,1.60185e+21,3.68214e-16,5.68718e-15,958522,
BatchNorm2d,31,128,129,129,0,2.13005e+06,0,6.39014e+06,2.13005e+06,8.52019e+06,1.06502e+07,8.52019e+06,7.14829e-07,466641,0,18.2586,832.051,
Conv2d,32,256,129,129,294912,4.90763e+09,0,4.90763e+09,0,1.70404e+07,2.83416e+12,1.822e+07,4.90763e+09,3.2037e+21,3.68214e-16,5.68718e-15,1.91704e+06,
SeparableConv2d,33,256,129,129,655360,1.09058e+10,0,1.09058e+10,0,1.70404e+07,2.18117e+10,1.96618e+07,1.09058e+10,7.11934e+21,3.68214e-16,2.76175e-15,256,
BatchNorm2d,34,256,129,129,0,4.2601e+06,0,1.27803e+07,4.2601e+06,1.70404e+07,2.13005e+07,1.70404e+07,1.42966e-06,933281,0,18.2586,1664.1,
ReLU,35,256,129,129,0,0,4.2601e+06,0,0,1.70404e+07,4.2601e+06,1.70404e+07,2.85932e-07,186656,0,91.2929,0,
